"Sex";"Periods";"Regions";"Population on 1 January (number)"
"Total male and female";"2010";"Aa en Hunze";25563
"Total male and female";"2020";"Aa en Hunze";25445
"Total male and female";"2021";"Aa en Hunze";25399
"Total male and female";"2010";"Aagtekerke";
"Total male and female";"2020";"Aagtekerke";
"Total male and female";"2021";"Aagtekerke";
"Total male and female";"2010";"Aalburg";12614
"Total male and female";"2020";"Aalburg";
"Total male and female";"2021";"Aalburg";
"Total male and female";"2010";"Aalsmeer";29187
"Total male and female";"2020";"Aalsmeer";31859
"Total male and female";"2021";"Aalsmeer";31991
"Total male and female";"2010";"Aalten";27500
"Total male and female";"2020";"Aalten";27121
"Total male and female";"2021";"Aalten";27120
"Total male and female";"2010";"Ter Aar";
"Total male and female";"2020";"Ter Aar";
"Total male and female";"2021";"Ter Aar";
"Total male and female";"2010";"Aardenburg";
"Total male and female";"2020";"Aardenburg";
"Total male and female";"2021";"Aardenburg";
"Total male and female";"2010";"Aarle-Rixtel";
"Total male and female";"2020";"Aarle-Rixtel";
"Total male and female";"2021";"Aarle-Rixtel";
"Total male and female";"2010";"Abbekerk";
"Total male and female";"2020";"Abbekerk";
"Total male and female";"2021";"Abbekerk";
"Total male and female";"2010";"Abbenbroek";
"Total male and female";"2020";"Abbenbroek";
"Total male and female";"2021";"Abbenbroek";
"Total male and female";"2010";"Abcoude";8764
"Total male and female";"2020";"Abcoude";
"Total male and female";"2021";"Abcoude";
"Total male and female";"2010";"Achtkarspelen";28088
"Total male and female";"2020";"Achtkarspelen";27843
"Total male and female";"2021";"Achtkarspelen";27900
"Total male and female";"2010";"Achttienhoven (U.)";
"Total male and female";"2020";"Achttienhoven (U.)";
"Total male and female";"2021";"Achttienhoven (U.)";
"Total male and female";"2010";"Adorp";
"Total male and female";"2020";"Adorp";
"Total male and female";"2021";"Adorp";
"Total male and female";"2010";"Aduard";
"Total male and female";"2020";"Aduard";
"Total male and female";"2021";"Aduard";
"Total male and female";"2010";"Akersloot";
"Total male and female";"2020";"Akersloot";
"Total male and female";"2021";"Akersloot";
"Total male and female";"2010";"Alblasserdam";19014
"Total male and female";"2020";"Alblasserdam";20165
