;Vollaard_id;weight;micro_cat;micro_num;ripeness_cat;ripeness_num;cleaning_cat;cleaning_num;temperature;temp_cat;fresh_cat;fresh_num;fat_num;fat_cat;price_per_100g;price_cat;finalscore;top10;nottop10;atlantic;within30km;year2017;original_ID;name;address
132;253;77;Slecht;3;Licht;1;Goed;2;8.9;2;nietvers;0;4.6;1;3.57;3;13;0;1;0;1;1;86;024 Vis;Zwaneveld 8020 - Nijmegen
86;151;65;Zeer goed;1;Bedorven;4;Goed;2;6.1;1;nietvers;0;12.2;2;1.37;1;7.5;0;1;0;1;1;140;Albert Heijn (Wageningen);Stadsbrink 375 - Wageningen
119;244;67;Voldoende;2;Sterk;3;Goed;2;6.7;1;nietvers;0;12.6;2;1.86;1;9.5;0;1;0;1;0;120;Albert Heijn (Houten);Cardo 12 - Houten
126;261;62;Zeer goed;1;Sterk;3;Goed;2;9.1;2;nietvers;0;12.7;2;1.6;1;9;0;1;0;1;0;125;Albert Heijn (Maastricht);Burgemeester Cortenstraat 8 - Maastricht
77;175;71;Zeer goed;1;Sterk;3;Goed;2;7.4;2;nietvers;0;9.8;1;1.11;1;8.5;0;1;0;1;0;129;Aldi (Arnhem);Kronenburgpassage 124 - Arnhem
117;217;68;Zeer goed;1;Bedorven;4;Matig;3;8.1;2;nietvers;0;11.2;2;1.24;1;7.5;0;1;0;1;1;142;Aldi (Zevenaar);Muldershof 35 - Zevenaar
84;185;79;Voldoende;2;Sterk;3;Matig;3;9.5;2;vers;1;12.9;2;3.16;2;12;0;1;0;1;0;99;Arie Haring;Langsom 5 - Amsterdam
35;66;57;Goed;1;Bedorven;4;Slecht;4;12.5;3;nietvers;0;9.4;1;3.07;2;7.5;0;1;0;0;1;145;Arie’s Visboetiek;Leyweg 183 - Den Haag
90;194;63;Zeer goed;1;Sterk;3;Slecht;4;9.9;2;nietvers;0;13.6;2;3.38;2;7.5;0;1;0;1;0;138;Backus aan de Grens Visspecialiteiten;Herungerberg 417 - Venlo
64;149;76;Zeer goed;1;Sterk;3;Matig;3;7.4;2;vers;1;14.1;3;2.63;1;12;0;1;0;1;0;96;Bal Vismeesters;Maximastraat 12 - Nijverdal
106;226;66;Zeer goed;1;Gemiddeld;2;Goed;2;6.8;1;vers;1;14.8;3;3.78;3;15;0;1;0;1;0;61;Balk Visch aan het Spaarne;Friese Varkenmarkt 13a - Haarlem
55;94;59;Zeer goed;1;Licht;1;Zeer goed;1;6.3;1;vers;1;13.4;2;3.38;2;16.5;0;1;0;1;1;12;Bartje’s Vis;Deldensestraat 31 - Almelo
65;150;71;Zeer goed;1;Gemiddeld;2;Zeer goed;1;-0.8;1;vers;1;15.1;3;2.81;1;16;0;1;0;1;0;28;Bartje’s Vis;Deldensestraat 31 - Almelo
57;135;61;Goed;1;Gemiddeld;2;Zeer goed;1;6.4;1;vers;1;13.4;2;3.27;2;15;0;1;0;1;0;60;Bert Zwier;Verkoopwagen Vismarkt - Groningen
135;272;69;Zeer goed;1;Bedorven;4;Goed;2;2.5;1;nietvers;0;9;1;1.8;1;7.5;0;1;0;1;0;139;Boni;Noordbargerstraat 5 - Emmen
87;190;64;Zeer goed;1;Licht;1;Zeer goed;1;5.6;1;vers;1;13.1;2;3.51;3;15;0;1;0;1;0;57;Bram & Aaltje;Verkoopwagen dagmarkt dinsdag Brink - Baarn
41;76;58;Goed;1;Sterk;3;Goed;2;6.3;1;nietvers;0;12.5;2;3.44;2;13.5;0;1;0;1;1;85;Bram van Diermen World of Fresh Fish;Verkoopwagen dagmarkt woensdag Voorstraat - Vianen
114;238;71;Goed;1;Gemiddeld;2;Zeer goed;1;6.3;1;vers;1;11.5;2;3.16;2;16;0;1;0;1;0;35;Buurman Vis;Stationsstraat 8 - Twello
