original_id_2017;name;address;eindcijfer;conclusie;vers_van_het_mes;beroodeling;cijfer;rijping;schoonmaak;gewicht;prijs_per_stuck;prijs_per_100g;temperatuur;vet_percentage;micro
1;Vishandel Ruud den Haan;Oudedijk 145 - Rotterdam;10;Op hun eigen rustige manier werken de gebroeders Den Haan aan hun zaak. En hun uitstekende haring is daarbij een geweldige reclame. Probeer het maar eens.;Ja;Een goede haring is geen toeval maar een kwestie van vakmanschap. Dat wordt hier in de praktijk gebracht. Mals, zilt en romig. Beslist top!;10;Gemiddeld;Zeer goed;77;2.25;2.92;3.3;12.0;Zeer goed
2;Visgilde De Zeeland;Markiezaatsweg 11 b - Bergen op Zoom;9.9;Met schitterende, pas geopende winkel in voormalige suikerfabriek geeft de familie Schot fantastisch visitekaartje af. Kwaliteit op het hoogste niveau.;Ja;De vakkundige handen van Martha Schot toveren weer een plaatje tevoorschijn. Een lust voor oog en smaakpapillen. Echt geweldig.;9.9;Gemiddeld;Zeer goed;75;2.10;2.80;2.7;13.7;Zeer goed
3;Vishandel Simonis;Visafslagweg 20 - Den Haag;9.8;Dennis en zoon Jordi zetten beste hun beentje weer voor. Kwaliteit is geen toeval, maar hard werken en bewijs van vakmanschap. Na winst in 2015 en 2016 wederom een topprestatie.;Ja;Hoge bomen vangen veel wind en elk jaar komen er mails dat de haring bij Simonis tegenvalt. Onzin. Absolute topkwaliteit. Beslist proeven.;9.8;Gemiddeld;Zeer goed;76;1.85;2.43;2.5;12.3;Zeer goed
4;De Graaf’s Visspecialiteiten;Westwal 6 - Leerdam;9.7;Wouter en Monica de Graaf hebben zich de laatste jaren vastgebeten in de Hollandse Nieuwe. Dat kost inspanning, maar hun vakmanschap levert ze deze toppositie op.;Ja;Weer een toppertje. Terecht dat steeds meer klanten de weg naar deze winkel weten te vinden. Mals, zilt en romig. Scoort op alle punten.;9.7;Licht;Zeer goed;73;2.35;3.21;4.6;10.3;Zeer goed
5;Visspecialist Corné Struik;Verkoopwagen parkeerterrein De Markte - Krimpen a/d Lek;9.6;Mensen in de Krimpenerwaard mogen blij zijn met Corné Struik. Met zijn 26 jaar de trotse eigenaar van een nieuwe, hypermoderne verkoopwagen. Wat een ondernemer. En wat een haring.;Ja;Je weet het binnen een fractie van een seconde: absolute top. Heeft alles wat een Hollandse Nieuwe moet hebben. Maak er nog maar één schoon.;9.6;Gemiddeld;Zeer goed;66;2.25;3.40;-1.2;13.7;Zeer goed
6;Schmidt Zeevis;Matlingeweg 333 - Rotterdam;9.5;Nederlands bekendste viswinkel blijft een fenomeen. Zoek een parkeerplaats naast de Maserati’s, Porsches, BMW’s en talloze SUV’s. Schmidt is een geweldige beleving, in vele opzichten.;Ja;Schmidt zet weer zijn beste beentje voor. Veel zilver, mooie glans en blank vlees. Heerlijk frisse haring met een volle romige smaak. Een topper.;9.5;Gemiddeld;Zeer goed;72;2.50;3.47;1.9;13.4;Zeer goed
7;Viswinkel De Lange;Marcelisstraat 37 b - Den Haag;9.4;Kleine viswinkel met beperkt aantal vierkante meters. Klanten staan daardoor vaak buiten in de rij, want zij weten in groten getale de weg naar dit verkooppunt te vinden. En terecht.;Ja;Alles klopt. Van het schoonmaken tot aan de laatste hap is het genieten. Frisse, neutrale geur. Zilver vanbuiten, blank vanbinnen. Mals, zilt en romig.;9.4;Licht;Zeer goed;57;2.00;3.50;5.6;13.2;Zeer goed
8;Volendammer Vishandel Koning;Bogaardplein 10 - Rijswijk;9.3;Kees Koning is al meer dan tien jaar een vaste waarde in de top 10. Dat zegt alles over zijn inzet, passie en vakmanschap. Een visdetaillist zoals je die niet vaak zult tegenkomen.;Ja;Fris en zilt, zeer goed schoongemaakt. Glanzend zilver vanbuiten, transparant en blank vanbinnen. Prima haring met een mooie volle smaak.;9.3;Gemiddeld;Zeer goed;74;2.00;2.70;2.9;11.6;Zeer goed
9;M.J. de Graaf Fishmasters;Verkoopwagen parkeerterrein winkelcentrum Walburg - Zwijndrecht;9.2;Loon naar werken voor jong ondernemersechtpaar. Zij proberen al jarenlang het beste uit zichzelf en hun haring te halen. Harde, leergierige werkers die groot respect verdienen.;Ja;Een haring waarbij op het scoreformulier weer alle positieve punten zijn aangekruisd. Mals, zilt, romig, blank, glanzend, transparant, et cetera.;9.2;Gemiddeld;Zeer goed;63;2.00;2.94;-1.9;13.1;Zeer goed
10;Vistaria Schaap;Ootmarsumsestraat 296 - Almelo;9.1;Johan en Wim Schaap zijn ook ‘besmet geraakt met het haringvirus’. Zij investeerden in kennis en kunde en leveren het bewijs dat puike haring ook een kwestie van mentaliteit is.;Ja;Wauw, weer zo’n klasseharing. Perfect schoongemaakt. Mooie, volle, romige smaak en dat betekent weer genieten pur sang. Een omweg waard.;9.1;Gemiddeld;Zeer goed;80;2.25;2.81;4.1;12.6;Zeer goed
