name;address;eindcijfer;conclusie;vers_van_het_mes;beroodeling;cijfer;rijping;schoonmaak;gewicht;prijs_per_stuck;prijs_per_100g;temp;vet_percentage;micro;unique_id;vollaard_id
Vishandel Nieuwland;Zonnewijzer 14 - Amersfoort;7.5;Eigenaar Jeroen Tuijp komt er openlijk voor uit dat het runnen van een viswinkel in een veranderende wijk moeite kost. Toch kijkt hij met optimisme naar de toekomst.;Ja;"Teruglopende omzet is ook terug te zien in de haring die over de toonbank gaat. De haring zit langer in de emmer; wordt dus zachter enzovoort.";7.5;Gemiddeld;Zeer goed;63;2.20;3.49;3.3;18.1;Zeer goed;16_056;1
Vishandel Volendam;Godebaldkwartier 80 - Utrecht;8.5;Bekende viswinkel is een oase in de steenwoestijn van het Godebaldkwartier. Met iets zorgvuldiger werken valt hier nog wel enige winst te behalen. Moet te doen zijn.;Ja;Ingewanden. Graten. Opperhuid. Het schoonmaken heeft een hoog Franse-slag-gehalte. Vette haring maar nog wel mals en zilt en romig. Prima.;8.5;Gemiddeld;Matig;76;2.30;3.02;4.1;15.3;Zeer goed;16_032;2
Visspecialist Bonito;Verkoopwagen Hobbemastraat - Maassluis;7.0;Door het langdurig schoonmaken loopt de temperatuur op. Dat kan iets zijn om op te letten. Verkoper klaagt over de gemeente die hem geen andere standplaats wil verstrekken.;Ja;Verkoper herkent de keurmeester en pakt toch maar een nieuwe emmer. Geen bezwaar. Frisse haring die al iets is verkleurd. Hartig en iets gerijpt.;7.5;Gemiddeld;Goed;58;1.80;3.1;9.8;5.9;Goed;17_065;3
Vishandel Gundlach;Groenelaan 73 - Schiedam;6.5;Vriendelijke verkoper vertelt hoe de Gundlachs eeuwen geleden als glasblazers naar Schiedam kwamen. En hij zit in de vis. Beheersing van temperatuur is puntje van aandacht.;Ja;Het schoonmaken is best in orde. Ook in de geur geen afwijkingen. Wel weer die karamelverkleuring. Iets doorgerijpt en vettig. Toch niet onaardig.;7.5;Gemiddeld;Goed;60;2.00;3.33;10.4;13.1;Zeer goed;17_074;4
Erasmus Viscenter;Kaai 1 - Breskens;0.0;Chagrijnige, onvriendelijke verkoopster kijkt pislink als zij op haar bedorven waar wordt aangesproken. Onbegrijpelijk dat zo iemand zich met levensmiddelenverkoop mag bezighouden.;Nee;Vijf lagen dik ligt de voorgesneden haring te broeien. Chemisch en fysisch bedorven. Bagger, een ander woord is er niet. Driewerf schande!;0.0;Bedorven;Matig;71;2.00;2.81;18.9;9.0;Slecht;17_146;5
Visspecialist Sluizeman;Baronie 90 - Alphen a/d Rijn;8.97;Meedraaien in de bovenste regionen is het bedrijven van topsport. Dan komt het aan op de kleinste punten. Sluizeman heeft zich de afgelopen jaren uitstekend ontwikkeld. Hulde.;Ja;Heerlijke haring, maar ook hier zijn de nog aanwezige kopgraten het struikelblok. Doodzonde. Was op smaak beslist in de top 10 geëindigd.;8.97;Licht;Goed;72;2.25;3.12;0.4;14.1;Zeer goed;17_016;6
The Haddock Fish & Chips;Nieuwe Oosterstraat 1e - Leeuwarden;6.0;"In 2015 nog de beste van Friesland; nu toch een tikkeltje teleurstellend. Scherper zijn op wat wordt aangeleverd en nog kritischer op eigen traject. Dan komt het (weer) goed.";Ja;Ingewanden en smurrie. Het rijpingsproces is te ver gevorderd om nog te kunnen spreken van fris en romig. Zacht en verkleurd visvlees. Beetje klef.;6.5;Sterk;Matig;73;2.00;2.73;8.0;13.6;Zeer goed;16_080;7
EM-TÉ;Krispijnseweg 68 - Dordrecht;0.0;Na slechte resultaten vorig jaar beloofde EM-TÉ beterschap. Daar lijkt weinig van terechtgekomen. Wat maakt het ook uit? De gemiddelde consument slikt het en klaagt niet.;Nee;Haring meurt de verpakking uit. Kleurvariaties in geel, cyclaam en zwart. Volledig bedorven. En dat twee dagen voor de THT-datum. Ziekmakend.;0.0;Bedorven;Matig;73;2.00 (2);1.28;8.2;10.7;Waarschuwingsfase;17_143;8
Tijger & De Vis;Lindengracht 158 h - Amsterdam;6.5;Met een eigen assortiment wil Tijger & De Vis zich onderscheiden van andere viszaken. Dat is een mooi streven. Kan wat scherper qua werkwijze. Laat bijvoorbeeld temperatuur niet oplopen.;Ja;Jonge, enthousiaste ondernemer loopt haring met een pincet na om alle graten te verwijderen. Haring is mals, hartig, zacht en doorgerijpt.;7.5;Gemiddeld;Zeer goed;79;3.00;3.79;10.3;11.2;Voldoende;17_073;9
Vishandel Jack de Scheveninger;Verkoopwagen Graaf Florisplein - ’s-Gravenzande;6.5;Vooral bij een verkoopwagen blijft het toch altijd een beetje een gok wat je gaat tegenkomen. Geen onvoldoende is het niet, maar tegen een keertje overslaan zal ook niemand bezwaar maken.;Ja;Haring oogt fris, maar ziet er beter uit dan hij zal smaken. Aan de zoute kant, sterke pekelsmaak en sterk doorgerijpt. Je moet ervan houden.;6.5;Sterk;Goed;58;1.95;3.41;6.7;11.8;Goed;17_081;10
De Visarend;Schoolstraat 73 - Voorschoten;6.0;Buiten in een haringkar Hollandse nieuwe verkopen staat misschien leuk maar brengt ook risico's voor het product met zich mee. De Visarend ontsnapt de dans nog net.;Ja;Schoonmaken moet beter want graten en rafelig gesneden. Al iets gefermenteerd. Zacht visvlees met een bittere nasmaak. Olie overheerst.;6.0;Gemiddeld;Matig;62;2.00;3.22;3.9;12.4;Zeer goed;16_082;11
Visspecialist Struik;Verkoopwagen vrijdag Maenstand - Ouderkerk aan den IJssel;9.03;Daan Struik verbaast vriend en vijand. Aan hem nu de beslist niet gemakkelijke opdracht om dit niveau vast te houden. Dat zal moeilijker zijn dan hij waarschijnlijk vermoedt.;Ja;Dit is gemakkelijk beoordelen: alles is zeer goed. Een uiterst aangename verrassing. Hollandse nieuwe waarvoor je naar de standplaats rijdt.;9.03;Gemiddeld;Zeer goed;65;2.10;3.23;-0.9;14.7;Zeer goed;16_010;12
Visspecialist Sluizeman;Baronie 90 - Alphen aan den Rijn;9.5;Een paar jaar geleden liepen Jack en Angelique Hendriks het haringvirus op en sindsdien verbeteren zij zich alleen maar. Voor het tweede jaar in de top 10. Mooie prestatie!;Ja;De hele rij bekende steekwoorden kan hier moeiteloos worden ingevuld: Fris. Mals. Zilt. Romig. Zilver. Blank. Witte speklaag. Glanzend. Top.;9.5;Gemiddeld;Zeer goed;78;2.25;2.88;4.3;9.0;Zeer goed;16_008;13
