id;weight;micro;micro_num;ripeness;ripeness_num;cleaning;cleaning_num;temp;temp_cat;fresh;fresh_num;fat;fat_cat;price100g;price_cat;finalscore;top10;outsidetop10;A_d;k30;yr2017;our_unique_id
1;63;Very good;1;Average;2;Very good;1;3.3;1;Freshly prepared;1;18.1;3;3.49;3;15.0;0;1;0;1;0;16_056
2;76;Very good;1;Average;2;Poor;3;4.1;1;Freshly prepared;1;15.3;3;3.02;2;16.0;0;1;0;1;0;16_032
3;58;Good;1;Average;2;Good;2;9.8;2;Freshly prepared;1;5.9;1;3.1;2;14.5;0;1;0;0;1;17_065
4;60;Very good;1;Average;2;Good;2;10.4;3;Freshly prepared;1;13.1;2;3.33;2;14.0;0;1;0;0;1;17_074
5;71;Bad;3;Rotten;4;Poor;3;18.9;3;Not freshly prepared;0;9.0;1;2.81;1;7.5;0;1;0;1;1;17_146
6;72;Very good;1;Mild;1;Good;2;0.4;1;Freshly prepared;1;14.1;3;3.12;2;16.3;0;1;0;0;1;17_016
7;73;Very good;1;Strong;3;Poor;3;8.0;2;Freshly prepared;1;13.6;2;2.73;1;13.5;0;1;0;1;0;16_080
8;73;Alarm signal;4;Rotten;4;Poor;3;8.2;2;Not freshly prepared;0;10.7;2;1.28;1;7.5;0;1;0;0;1;17_143
9;79;Passed;2;Average;2;Very good;1;10.3;3;Freshly prepared;1;11.2;2;3.79;3;14.0;0;1;0;1;1;17_073
10;58;Good;1;Strong;3;Good;2;6.7;1;Freshly prepared;1;11.8;2;3.41;2;14.0;0;1;0;0;1;17_081
11;62;Very good;1;Average;2;Poor;3;3.9;1;Freshly prepared;1;12.4;2;3.22;2;13.5;0;1;0;0;0;16_082
12;65;Very good;1;Average;2;Very good;1;-0.9;1;Freshly prepared;1;14.7;3;3.23;2;16.7;1;0;0;0;0;16_010
13;78;Very good;1;Average;2;Very good;1;4.3;1;Freshly prepared;1;9.0;1;2.88;2;17.0;1;0;0;0;0;16_008
14;77;Very good;1;Average;2;Good;2;12.9;3;Not freshly prepared;0;9.4;1;3.24;2;14.0;0;1;0;1;1;17_071
15;65;Very good;1;Strong;3;Poor;3;4.7;1;Freshly prepared;1;13.7;2;2.84;2;14.5;0;1;0;0;0;16_068
16;57;Passed;2;Strong;3;Poor;3;5.2;1;Not freshly prepared;0;8.8;1;3.33;2;11.5;0;1;0;0;0;16_109
17;71;Very good;1;Strong;3;Poor;3;7.8;2;Freshly prepared;1;13.8;2;2.74;1;14.0;0;1;0;1;0;16_075
18;67;Very good;1;Average;2;Very good;1;6.7;1;Freshly prepared;1;12.0;2;2.98;2;16.5;0;1;0;1;1;17_013
